CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
BIOL 7800,Molecular Cell Biology,"Molecular Cell Biology3 Credit Hours Prerequisites: Biol 2108K or Biol 2800; and Chem 1212K, or equivalents. Description A survey of biochemistry, molecular genetics, and cell biology including cell structure and chemistry, macromolecular structure and synthesis, protein trafficking, cell motility, signaling, and division.  Three lecture hours a week.   (Repeatable).",Biology,GSU
BIOL 7801,Effective Mentoring Skills,"Effective Mentoring Skills1 to 3 Credit Hours Prerequisites: consent of instructor. Description Graduate students will receive training in the teaching methods that produce effective mentors, tutors and instructors.",Biology,GSU
BIOL 7802,Instructional Methods,"Instructional Methods1 to 3 Credit Hours Prerequisites: consent of instructor. Description Principles of undergraduate laboratory instruction, including instructional theory, laboratory policies, and academic honesty.   One-two hours a week for discussion sections with laboratory supervisors and/or one-two hours a week for laboratory and workshop participation.",Biology,GSU
BIOL 7810,Molecular Cell Biology Laboratory,Molecular Cell Biology Laboratory3 Credit Hours Prerequisites: BIOL 7800  or concurrently.    Includes a $75.00 lab fee.Description Experiments demonstrating techniques and concepts in molecular cell biology with an emphasis on learning critical thinking through writing.,Biology,GSU
BIOL 7820,Plant Biology,"Plant Biology3 Credit Hours Prerequisites: Biol 2108K (or BIOL 2108 and BIOL 2108L) or equivalent with a C or higher. Description Dynamic aspects of plant function, structure, and growth.  Three lecture hours a week.",Biology,GSU
BIOL 7840,Animal Biology,"Animal Biology3 Credit Hours Prerequisites: Biol 2108K (or BIOL 2108 and BIOL 2108L) or equivalent with a C or higher. Description Comparative analysis of the behavior, physiology, anatomy, phylogeny, evolution, and ecology of animals.  Three lecture hours per week.",Biology,GSU
BIOL 7850,Animal Biology Laboratory,Animal Biology Laboratory1 Credit Hours Prerequisites: BIOL 7840  with a C or higher or taken concurrently.    Includes a $75.00 lab fee.Description Comparative structure and function of representative animal types.   Three laboratory hours a week.,Biology,GSU
BIOL 7880,Microbiology,"Microbiology3 Credit Hours Prerequisites: Biol 2108K and Biol 3800/BIOL 7800 , or equivalents. Description Functional anatomy, metabolism, cultivation, growth, and control of microorganisms with emphasis on the procaryotes; relationships of these organisms to their environment.  Three lecture hours a week.",Biology,GSU
BIOL 7890,Microbiology Laboratory,"Microbiology Laboratory1 Credit Hours Prerequisites: Biol 3880 or BIOL 7880  with a C or higher or taken concurrently.    Includes a $150.00 lab fee.Description Techniques of cultivation, quantitations, isolation, and identification of microorganisms with emphasis on bacteria; effects of physical and chemical agents.   Three laboratory hours a week.  (Repeatable).",Biology,GSU
BIOL 7900,Genetics,"Genetics3 Credit Hours Prerequisites: Biol 2108K and Biol 3800/BIOL 7800  or equivalents.   Chem 2400 recommended. Description Introduction to classical and molecular genetics including Mendelian genetics, gene mapping, and molecular biology.  Three lecture hours per week.",Biology,GSU
BIOL 7910,Genetics Laboratory,Genetics Laboratory1 Credit Hours Prerequisites: BIOL 3900 or BIOL 7900  with a C or higher or taken concurrently.    Includes a $150.00 lab fee.Description Experiments demonstrating concepts in genetics.   Three laboratory hours a week.,Biology,GSU
BIOL 7955,Introduction to the Center for Behavioral Neuroscience,Introduction to the Center for Behavioral Neuroscience1 Credit Hours Prerequisites: consent of instructor. Description Orientation to the research conducted at the Center for Behavioral Neuroscience (CBN). It is intended for members of CBN. Permission of instructor is required.,Biology,GSU
BIOL 8000,Responsible Conduct in Research,"Responsible Conduct in Research1 Credit Hours Prerequisites: Must be enrolled in as graduate student. Description Analysis, discussion, and review of requirements for the fulfillment of the responsible conduct in research (RCR) training, including ethics, publication, attribution of work, conflict of interest, and human and animal welfare. Course also entails taking and passing the Federal Collaborative Institutional Training Initiative (CITI) online training.",Biology,GSU
BIOL 8010,"Cellular, Molecular, and Developmental Neuroscience","Cellular, Molecular, and Developmental Neuroscience3 Credit Hours Prerequisites: Biol 4102 or BIOL 6102  with grade of B or higher, or equivalent, or consent of instructor. Description(Same as NEUR 8010  and PSYC 8616 .). Advanced analysis of central concepts in cellular, molecular, and developmental neuroscience. Topics include: physiology, development and differentiation, signaling and synaptic transmission, synaptic plasticity, construction and modulation or circuits, neurogenesis/repair/regeneration, molecular bases of behavior, and neurodevelopmental and degenerative disease.  Three lecture hours a week.",Biology,GSU
BIOL 8020,Systems Neuroscience,"Systems Neuroscience3 Credit Hours Prerequisites: BIOL 8010  with grade of B or higher, or equivalent, or consent of the instructor. Description(Same as NEUR 8020  and PSYC 8617 .) Advanced analysis of how neurons are organized into systems that control behavior. Topics include functional neuroanatomy, sensory and motor systems, and the neural basis of motor learning.",Biology,GSU
BIOL 8041,Research Design and Analysis in Neuroscience,"Research Design and Analysis in Neuroscience4 Credit Hours  Description(Same as NEUR 8040 ). This course will train doctoral students in the design of neuroscience experiments and the statistical methodologies appropriate for analyzing these data. Topics include experimental design, parametric and non-parametric statistical analysis, as well as applied problem sets using neurobiobehavioral data. Concurrent laboratory component will cover data entry and analysis using SPSS.",Biology,GSU
BIOL 8110,Concepts in Neurobiology,Concepts in Neurobiology2 Credit Hours Prerequisites: consent of the instructor. Description(Same as NEUR 8710 .) Lectures and discussions dealing with contemporary topics in neurobiology.  Two lecture hours a week.,Biology,GSU
BIOL 8220,Advanced Molecular Cell Biology,"Advanced Molecular Cell Biology4 Credit Hours Prerequisites: Biol 3800, Biol 3900, and Chem 4600, or equivalent, or consent of instructor. Description Current concepts in cell biology. The structure and function of the various cellular components and processes will be examined on a molecular, cellular and multicellular level.  Four lecture hours a week.",Biology,GSU
BIOL 8248,Advanced Cellular Physiology,"Advanced Cellular Physiology4 Credit Hours Prerequisites: Biol 4248, Chem 4310 and Chem 4600, or equivalents, or consent of instructor. Description Mechanisms and regulation of transport processes in cellular membranes and organelles.  Four lecture hours per week.",Biology,GSU
BIOL 8278,Molecular Immunology,"Molecular Immunology4 Credit Hours Prerequisites: Biol 4278 or BIOL 6278  or consent of instructor. Description Important concepts of modern immunology and mechanisms of inflammation. Topics include host defense against pathogens, inflammation, innate and adaptive immunity, systemic and cellular level regulatory mechanisms. The course also discusses major current inflammatory diseases and infectious conditions.  Four lecture hours a week.",Biology,GSU
BIOL 8310,Concepts in Cell Biology and Physiology,Concepts in Cell Biology and Physiology2 Credit Hours Prerequisites: consent of the instructor. Description Lectures and discussions dealing with contemporary topics in cell biology and physiology.  Two lecture hours a week.,Biology,GSU
