,CourseNumber,CourseTitle,Description,CourseDepartment
2558,EURO 259,Towards Emancipation? Women in Modern Europe,"This course examines and compares the situation of women in politics, the work force, society and family from the French Revolution to the new women's movement in the 1970s with a focus on Britain, France and Germany. One major theme is the history of the struggle for women's emancipation.",EURO
2559,EURO 270,Religion in Western Europe,"In this course, we will explore various topics related to the past and present status of religion in general, and of certain religions in particular, within three Western European countries: the United Kingdom, France, and Germany. Honors version available.",EURO
2560,EURO 285,Applied Experimental Research: Politics in the US and Europe,"The course familiarizes students with experimental research methods in political science, including laboratory experiments, field experiments, and survey experiments. Students will design and conduct an experimental research project on a research question about US or European politics.",EURO
2561,EURO 347,"Fascist Challenge in Europe, 1918-1945","The course focus on theories on fascism, national cultures of fascism (e.g. Nazi Germany, Fascist Italy, Hungary) as well as selected topics which are essential to understand the attraction and functioning of fascist movements and regimes since 1918 in Europe (e.g. racism, war, culture, charismatic leadership).",EURO
2562,EURO 433,Politics of the European Union,Examines the politics and political economy of institutional change and policy making in the European Union in comparative perspective. Honors version available.,EURO
2563,EURO 438,Democracy and International Institutions in an Undivided Europe,"Explores the collapse of communist rule in 1989 and the reaction of international institutions to the challenges of democratization, economic transition, ethnic conflict, and European integration in an undivided Europe.",EURO
2564,EURO 442,International Political Economy," Theories of international political economy, major trends in international economic relations, selected contemporary policy issues.",EURO
2565,EURO 460,International Economics," An introduction to international trade, the balance of payments, and related issues of foreign economic policy.",EURO
2566,EURO 486,"Exploration of Russian ""Women's Prose"" and Svetlana Alexievich (Nobel Prize in Literature 2015)","Using Alexievich as our beacon, we will explore the writers behind the term ""Russian Women's Prose"": Valeria Narbikova, Lyudmila Petrushevskaya, Tatyana Tolstaya, and Lyudmila Ulitskaya. The course will delve into gender identity and body politics as they manifest themselves in the literary texts of lasting aesthetic quality and social relevance. Taught in English; some readings in Russian for qualified students.",EURO
2567,EURO 490,Advanced Special Topics Seminar in Contemporary European Studies,A detailed examination of advanced special topics in Contemporary European Studies.,EURO
2568,EURO 691H,Honors Thesis in European Studies,Directed independent research leading to the preparation of an honors thesis.,EURO
