Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
2003,MEGR 7119 , Thermal Applications in Biomedical Engineering ,"Application of thermodynamic and heat transfer principles to the analysis of biomedical systems. Topics include: thermodynamic and transport properties of biological tissue, thermoregulation, design and use of cryosurgical probes, and numerical modeling methods. Credit will not be awarded for MEGR 7119 where credit has been awarded for MEGR 8119 .",Middle Grades Education,UNCC
2004,MEGR 7120 , Bearing Design and Lubrication ,"Hydrodynamic lubrication, fluid film and rolling element bearings, design and control of gas and fluid lubricated bearings. Credit will not be awarded for MEGR 7120 where credit has been awarded for MEGR 8120 .",Middle Grades Education,UNCC
2005,MEGR 7121 , Mechanism Analysis ,"Analysis of coplanar and spatial mechanisms, application of matrix methods in analysis of mechanisms, mobility analysis of mechanisms, rigid body guidance, computer-aided analysis of mechanisms. Credit will not be awarded for MEGR 7121 where credit has been awarded for MEGR 8121 .",Middle Grades Education,UNCC
2006,MEGR 7122 , Mechanism Synthesis ,"Synthesis of coplanar and spatial mechanisms, number and type synthesis, function generator, path generator, optimal synthesis of mechanisms, case studies in optimal design of mechanisms. Credit will not be awarded for MEGR 7122 where credit has been awarded for MEGR 8122 .",Middle Grades Education,UNCC
2007,MEGR 7123 , Mechanical Design ,"Impact loading on critical sections, fatigue consideration, stress concentration, fluctuating stresses, failure analysis, contact stresses, industrial case studies. Credit will not be awarded for MEGR 7123 where credit has been awarded for MEGR 8123 .",Middle Grades Education,UNCC
2008,MEGR 7124 , Introduction to Automatic Controls ,Emphasis on mechanical systems. Mathematical models and characteristics of control systems. Performance and stability of linear feedback systems. Root locus and frequency response techniques. State space methods. Design and compensation of control systems. Credit will not be awarded for MEGR 7124 where credit has been awarded for MEGR 8124 .,Middle Grades Education,UNCC
2009,MEGR 7126 , Dynamics of Machinery ,"Application of dynamics of machinery, balancing of rigid and flexible rotors. Dynamics of spatial mechanisms. Computer-aided dynamic analysis of machinery. Credit will not be awarded for MEGR 7126 where credit has been awarded for MEGR 8126 .",Middle Grades Education,UNCC
2010,MEGR 7127 , Computer-Aided Manufacturing ,"Topics include: flowline production, numerical control, computeraided process monitoring and control, group technology, flexible manufacturing, and material requirement planning. Credit will not be awarded for MEGR 7127 where credit has been awarded for MEGR 8127 .",Middle Grades Education,UNCC
2011,MEGR 7128 , Control of Robotic Manipulators ,"Control of industrial robots including linear, nonlinear, and adaptive control of the motion of robots; plus control of forces and torques exerted by the end-effector. Additional topics include computer animation of the controlled behavior of industrial robots, actuators and sensors, robot vision and artificial intelligence, and control computer/robot interfacing. Credit will not be awarded for MEGR 7128 where credit has been awarded for MEGR 8128 .",Middle Grades Education,UNCC
2012,MEGR 7129 , Structural Dynamics of Production Machinery ,"The analytical study of dynamic characteristics of production machinery and the corresponding measurement, specification, and effects on machine performance. Machine tool vibration, machine tool stability, high speed machining. Credit will not be awarded for MEGR 7129 where credit has been awarded for MEGR 8129 .",Middle Grades Education,UNCC
2013,MEGR 7142 , Theory of Elasticity II ,"Continuation of MEGR 6141  with additional topics in three-dimensional analyses. Topics include: complex variable techniques, variational methods and numerical techniques. Credit will not be awarded for MEGR 7142 where credit has been awarded for MEGR 8142 .",Middle Grades Education,UNCC
2014,MEGR 7143 , Inelastic Behavior of Materials ,"Introduction to plasticity and linear viscoelasticity. Topics include: a study of yield criteria, plastic stress-strain relations, plastic hinge analysis, discrete viscoelastic models, the hereditary integral and selected boundary value problems. Credit will not be awarded for MEGR 7143 where credit has been awarded for MEGR 8143 .",Middle Grades Education,UNCC
2015,MEGR 7145 , Advanced Topics in Dynamics ,"Selected advanced topics in dynamics such as Lagrangian dynamics, vibrations of continuous media, stress wave propagation, and motion measurement. Credit will not be awarded for MEGR 7145 where credit has been awarded for MEGR 8145 .",Middle Grades Education,UNCC
2016,MEGR 7146 , Experimental Stress Analysis ,"Theoretical and experimental techniques of stress and strain analysis, with experimental emphasis on strain gages and instrumentation. Brittle coatings and photoelasticity are also considered. Two lectures and a two-hour lab per week. Credit will not be awarded for MEGR 7146 where credit has been awarded for MEGR 8146 .",Middle Grades Education,UNCC
2017,MEGR 7161 , Atomic Processes in Solids ,Processes dependent on large- and small-scale atomic motions leading to changes in material structures and properties. Theories of diffusion controlled and diffusionless transformations. Modern concepts in structure and property control. Credit will not be awarded for MEGR 7161 where credit has been awarded for MEGR 8161 .,Middle Grades Education,UNCC
2018,MEGR 7164 , Diffraction/Spectroscopic Studies of Matter ,Atomic arrangements in crystalline and non-crystalline forms of matter. Symmetry properties of crystals. Treatment of diffraction theory and experimental methods. X-ray diffraction and spectroscopic analysis of matter. Credit will not be awarded for MEGR 7164 where credit has been awarded for MEGR 8164 .,Middle Grades Education,UNCC
2019,MEGR 7165 , Diffraction and NDE Methods in Materials Science ,Principles of diffraction and nondestructive evaluation methods and their applications to material problems; characterization of atomic and microstructural features and process induced defects in materials; evaluation of residual stress and texture effects; phase and elemental analysis; experimental methodologies. Credit will not be awarded for MEGR 7165 where credit has been awarded for MEGR 8165 .,Middle Grades Education,UNCC
2020,MEGR 7166 , Deformation and Fracture of Materials ,"Macroscopic and microscopic aspects of elastic and plastic deformation and fracture; applications of dislocation theory to an interpretation and control of mechanical properties; temperature, strain rate and texture effects. Credit will not be awarded for MEGR 7166 where credit has been awarded for MEGR 8166 .",Middle Grades Education,UNCC
2021,MEGR 7167 , Mechanical Behavior of Materials II ,Continuation of MEGR 6166 . Topics include: further treatments of dislocation theory and its applications; analysis of fatigue and creep phenomena; strength of polymers and composites; statistical treatment of strength; materials design and failure analysis. Credit will not be awarded for MEGR 7167 where credit has been awarded for MEGR 8167 .,Middle Grades Education,UNCC
